22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,8,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0
11,4,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,10,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0
4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,3,0,4,3,0,3,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
