"ID","Species","Interactions","Connectance","Type of interactions","Type of data","Reference","Locality of Studi","Latitude","Longitude"
"M_PL_003","61","81","0.09","Pollination","0","Arroyo, M.T.K., R. Primack & J.J. Armesto. 1982. Community studies in pollination ecology in the high temperate Andes of central Chile. I. Pollination mechanisms and altitudinal variation. Amer. J. Bot. 69:82-97.","Cordón del Cepo, Chile","-33.283334","-70.266668"
"M_PL_007","52","85","0.148","Pollination","1","Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant–insect flower visitor webs. J. Anim. Ecol. 71: 32–43.","Shelfanger, Norfolk, UK","52.413173","1.097873"
"M_PL_008","49","106","0.254","Pollination","0","Dupont YL, Hansen DM and Olesen JM (2003) Structure of a plant-flower-visitor network in the high-altitude sub-alpine desert of Tenerife, Canary Islands. Ecography 26:301-310.","Tenerife, Canary Islands","28.216667","-16.633333"
"M_PL_011","27","52","0.286","Pollination","0","Olesen, J.M., Eskildsen, L.I. & Venkatasamy, S. (2002). Div. Distr., 8:181-192.","Mauritius Island","-20.348404","57.552152"
"M_PL_013","65","103","0.204","Pollination","1","Ollerton, J., S. D. Johnson, L. Cranmer, and S. Kellie. 2003. The pollination ecology of an assemblage of grassland asclepiads in South Africa. Annals of Botany 92:807-834.","KwaZulu-Natal region, South Africa","-29.616667","30.133333"
"M_PL_022","66","83","0.088","Pollination","0","Medan, D., N. H. Montaldo, M. Devoto, A. Mantese, V. Vasellati, and N. H. Bartoloni. 2002. Plant-pollinator relationships at two altitudes in the Andes of Mendoza, Argentina. Arctic Antarctic and Alpine Research 34:233-241.","Laguna Diamante, Mendoza, Argentina","-34.166667","-69.7"
"M_PL_024","29","38","0.192","Pollination","1","Mosquin, T., and J. E. H. Martin. 1967. Observations on the pollination biology of plants on Melville Island, N.W.T., Canada. Canadian Field Naturalist 81:201-205.","Melville Island, Canada","75","-114.966667"
"M_PL_025","57","143","0.25","Pollination","1","Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.","North Carolina, USA","36.075391","-79.001843"
"M_PL_032","40","65","0.281","Pollination","0","Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.","Brownfield, Illinois, USA","40.133333","-88.166667"
"M_PL_033","47","141","0.319","Pollination","1","Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.","Ottawa, Canada","45.4","-75.5"
"M_PL_036","22","30","0.25","Pollination","0","Olesen unpubl.","Flores, Açores","39.466667","-31.227222"
"M_PL_037","50","72","0.18","Pollination","0","Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).","Hestehaven, Denmark","56.248737","9.973652"
"M_PL_038","50","79","0.235","Pollination","0","Montero AC (2005).The Ecology of Three Pollination Networks. MSc thesis (Univ of Aarhus, Aarhus, Denmark).","Hestehaven, Denmark","56.238737","9.993652"
"M_PL_039","68","129","0.149","Pollination","0","Stald L (2003). Struktur og dynamik i rum og tid af et bestøvningsnetværk på Tenerife, De Kanariske Øer. Msc thesis (Univ of Aarhus, Aarhus, Denmark).","Tenerife, Canary Islands","28.268611","-16.605556"
"M_PL_042","18","25","0.347","Pollination","0","Philipp M, Böcher J, Siegismund HR, Nielsen LR (2006) Ecography 29:531-540. (Philipp, M., Böcher, J., Siegismund, H. R. and Nielsen, L. R. 2006. Structure of a plant-pollinator network on a pahoehoe lava desert of the Galápagos Islands. – Ecography 29: 531– 40.)","Puerto Villamil, Isabela Island, Galapagos","-0.949194","-90.977222"
"M_PL_045","43","63","0.143","Pollination","1","Lundgren R, Olesen JM (2005). The Dense and Highly Connected World of Greenland's Plants and Their Pollinators. Arc Antarc Alp Res 37:514-520.","Uummannaq Island, Greenland","71","-52"
"M_PL_046","60","278","0.395","Pollination","0","Bundgaard, M. (2003). Tidslig og rumlig variation i et plante-bestøvernetværk. Msc thesis. University of Aarhus. Aarhus, Denmark.","Denmark","56.066667","10.233333"
"M_PL_050","49","86","0.176","Pollination","0","Stald, L., Valido, A. & Olesen, J. M. 2003. Struktur og dynamik i rum og tid at et bestøvningsnetværk på Tenerife, De Kanariske Øer. MSc-thesis, Univ. of Aarhus, Denmark.","Tenerife, Canary Islands","28.268611","-16.605556"
"M_PL_052","54","92","0.157","Pollination","0","Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.","Tundra, Greenladn","66.966667","-50.55"
"M_PL_059","26","71","0.42","Pollination","1","Bezerra ELS, Machado ICS, Mello MAR. 2009. Pollination networks of oil-flowers: a tiny world within the smallest of all worlds. Journal of Animal Ecology 78:1096–1101.","Parque Nacional do Catimbau","-8.505","-37.201389"
"M_PL_060_01","50","95","0.221","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_02","50","107","0.235","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_03","58","130","0.222","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_04","67","134","0.139","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_07","68","108","0.095","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_08","47","72","0.135","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_09","58","78","0.108","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_10","39","51","0.146","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_11","34","43","0.154","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_12","37","60","0.21","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_13","38","48","0.221","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_14","48","99","0.243","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_15","51","131","0.253","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_16","56","114","0.172","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_17","52","100","0.168","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_18","48","75","0.134","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_19","31","41","0.175","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_20","30","37","0.171","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_21","28","32","0.242","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
"M_PL_060_22","44","64","0.159","Pollination","1","Kaiser-Bunbury, C. N., S. Muff, J. Memmott, C. B. Müller, and A. Caflisch. 2010. The robustness of pollination networks to the loss of species and interactions: A quantitative approach incorporating pollinator behaviour. Ecology Letters 13:442-452.","Black River Gorges National Park, Mauritius","-20.7","57.733333"
